NAME,ID,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Beijing,1,1257,1358,1544,1526,1671,1943,2262,2643,2836,3150,3892,4269,4635,5494,6458,8006,10240,12690,14254,16609,19118,21397,24122,26998,30840,34892,41099,45444,50407,58204,63029,66940,73856,81658,87475
Tianjin,2,1133,1241,1357,1458,1469,1555,1853,2169,2352,2621,3035,3261,3487,3777,4481,5800,7751,9769,11734,13142,14243,15405,17353,19141,21387,25544,30575,35783,41022,46122,55473,62574,72994,85213,93173
Hebei,3,364,400,427,427,474,526,609,719,782,921,1219,1409,1465,1727,2040,2682,3439,4444,5345,6079,6501,6849,7592,8251,8960,10251,12487,14782,16752,19877,23239,24581,28668,33969,36584
Shanxi,4,365,437,442,488,551,604,756,838,890,962,1168,1367,1528,1592,1862,2271,2729,3515,4178,4724,5104,5230,5722,6226,7082,8641,10741,12495,14011,16945,20742,21522,26283,31357,33628
Neimonggu,5,317,343,361,407,480,535,640,809,888,1025,1291,1377,1478,1642,1906,2423,3094,3772,4457,4980,5406,5861,6502,7216,8162,10039,12767,16331,20264,25393,32214,39735,47347,57974,63886
Liaoning,6,680,717,811,823,884,1012,1203,1413,1633,1917,2285,2574,2698,3027,3693,5015,6103,6880,7730,8725,9415,10086,11177,12015,13000,14270,15835,18983,21788,25729,31259,35149,42355,50760,56649
Jilin,7,381,417,445,496,538,658,760,868,977,1269,1559,1636,1746,1878,2246,2826,3657,4402,5178,5591,5983,6382,7351,7893,8714,9854,11537,13348,15720,19383,23514,26595,31599,38460,43415
Heilonjiang,8,564,594,694,709,762,841,959,1062,1189,1335,1602,1808,2028,2310,2672,3306,4390,5402,6382,7133,7375,7578,8294,8900,9541,10638,12449,14434,16228,18478,21727,22447,27076,32819,35711
Shanghai,9,2485,2556,2725,2800,2864,2947,3232,3811,3956,4340,5080,5362,5911,6661,8208,11061,14328,17779,20647,23397,25206,27071,30047,32333,35445,40130,46755,52060,57695,66367,73124,69164,76074,82560,85373
Jiangsu,10,429.738586,509.1720901,540.625523,585.8845053,644.9527985,716.0544931,843.2184177,1052.603531,1193.490865,1461.938991,1890.856364,2037.671919,2109,2353.136526,3105.831376,4320.588422,5801.318576,7319.388126,8470.843344,9370.641926,10048.55478,10694.68449,11765.42422,12882.08291,14395.93107,16829.70463,20222.77455,24559.81754,28814,33928,39622,44253,52840,62290,68347
Zhejiang,11,331,417,471,531,599,650,810,1067,1237,1478,1853,2023,2138,2558,3212,4469,6201,8149,9552,10624,11394,12214,13416,14713,16978,20444,24352,27703,31874,37411,42214,43842,51711,59249,63374
Anhui,12,244,267.57,290.59,346.21,375.05,428.28,523.16,645.75,737.99,842.25,1025.77,1136.36,1182.39,1164.41,1389.65,1785.25,2257.33,3069.7,3524.08,3928.9,4235.44,4495.47,4779.46,5313.34,5736.18,6375.4,7681.2,8669.5,10026.3,12044.8,14485,16408,20888,25659,28792
Fujian,13,273,300,348,416,457,487,591,737,809,999,1349,1589,1763,2041,2557,3556,5193,6526,7646,8775,9603,10323,11194,11892,12938,14333,16469,18646,21385,25908,30123,33437,40025,47377,52763
Jiangxi,14,276,325,342,369,403,428,497,597,652,729,891,1013,1134,1249,1472,1835,2376,2896,3452,3890,4124,4402,4851,5221,5829,6624,8097,9440,10798,12633,14781,17335,21253,26150,28800
Shandong,15,316,350,402,472,531,611,765,887,956,1131,1395,1595,1815,2122,2556,3222,4473,5758,6834,7590,8128,8673,9555,10465,11645,13661,16925,20096,23794,27807,33083,35894,41106,47335,51768
Henan,16,232.3,266.7,316.7,340.1,353,432.9,481.6,579.7,635.3,755.8,909.9,1012.3,1090.6,1201.2,1452.3,1864.6,2466.8,3297.1,3978.4,4388.9,4643,4831.5,5449.7,5959.1,6487,7375.9,9200.6,11346,13172,16012,19593,20597,24446,28661,31499
Hubei,17,332.0286732,409.3530415,427.9808184,466.3228928,506.3261952,543.2693402,670.9677947,800.6918611,881.6097295,1018.420354,1215.927462,1373.219275,1541.167981,1668.027196,1962.445615,2360.532434,2991.334136,3671.405851,4310.982924,4883.798666,5287.025251,5452.462154,6293.409988,6866.985901,7436.583513,8378.006469,9897.636827,11431,13297,16206,19860,22677,27906,34197,38572
Hunan,18,286,343,365,394,430,470,519,626,703,818,999,1074,1228,1357,1595,1997,2630,3359,3963,4420,4667,4933,5425,6120,6734,7589,9165,10426,11950,14492,17521,20428,24719,29880,33480
Guangdong,19,370,410,481,550,633,675,827,1026,1164,1443,1926,2251,2484,2941,3699,5085,6530,8129,9139,10130,10819,11415,12736,13849,15361,17795,20870,24438.08593,28284,33151.39191,37589.06966,39436,44736,50807,54095
Guangxi,20,225.3431373,246.1795693,277.7665525,317.2718121,353.9451905,362.9080615,398.6037135,471.2721354,525.4785166,606.7882442,770.2972707,927.2981862,1066.144112,1210.810647,1489.521308,1981.581041,2674.758036,3303.675491,3706.402096,3928.334414,4346,4444,4652,5058,5558,6169,7461,8788,10296,12555,14966,16045,20219,25326,27952
HaiNan,21,314,327,354,399,510,540,636,729,798,925.3117767,1220.305197,1420.16853,1562.487449,1804.243082,2719.344817,3754.986101,4702.206766,5063.469193,5345.711265,5566.951035,5911.502208,6293.744953,6797.793546,7314.645878,8040.808961,8848.993087,10067.36881,10997.85519,12403,14555,17175,19254,23831,28898,32377
Chongqing,22,269,301,334,354,390,428,502,577,640,705,880,1011,1080,1221,1495,1959,2662,3557,4130,4733,5016,5207,5616,6219,7052,8091,9624,10982,12316,14660,18025,22920,27596,34500,38914
Sichuan,23,261,289,320,337,379,425,487,570,614,702,861,960,1136,1283,1477,1854,2338,3043,3550,4032,4294,4540,4956,5376,5890,6623,7895,9060,10546,12893,15378,17339,21182,26133,29608
Guizhou,24,175,204,219,242,278,302,371,420,467,546,683,750,810,896,1034,1234,1527,1826,2048,2250,2364,2545,2759,3000,3257,3701,4317,5052,5759,6915,8824,10971,13119,16413,19710
Yunnan,25,226,247,267,294,339,363,416,486,528,653,845,1003,1224,1377,1625,2030,2515,3083,3779,4121,4446,4558,4770,5015,5366,5870,7012,7835,8970,10540,12587,13539,15752,19265,22195
